[Mon Aug 04 10:40:23.970551 2014] [:error] [pid 3607] [client 127.0.0.1:58651] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /home/ikram/projects/analaticaV2/src/Analatica/UserAgentBundle/Controller/UserAgentController.php on line 17
[Mon Aug 04 10:43:35.845879 2014] [:error] [pid 3966] [client 127.0.0.1:58658] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /home/ikram/projects/analaticaV2/src/Analatica/UserAgentBundle/Controller/UserAgentController.php on line 17
[Mon Aug 04 10:47:12.057701 2014] [:error] [pid 3965] [client 127.0.0.1:58661] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /home/ikram/projects/analaticaV2/src/Analatica/UserAgentBundle/Controller/UserAgentController.php on line 17
[Mon Aug 04 10:54:12.899404 2014] [:error] [pid 1239] [client 127.0.0.1:52739] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /home/ikram/projects/analaticaV2/src/Analatica/UserAgentBundle/Controller/UserAgentController.php on line 17
[Mon Aug 04 10:54:55.716904 2014] [:error] [pid 1239] [client 127.0.0.1:52739] PHP Warning:  count(): recursion detected in /home/ikram/projects/analaticaV2/vendor/symfony/symfony/src/Symfony/Component/Stopwatch/Stopwatch.php on line 71
[Mon Aug 04 10:54:56.083676 2014] [:error] [pid 1239] [client 127.0.0.1:52739] PHP Warning:  count(): recursion detected in /home/ikram/projects/analaticaV2/vendor/symfony/symfony/src/Symfony/Component/Stopwatch/Stopwatch.php on line 71
[Mon Aug 04 11:44:55.058010 2014] [:error] [pid 2542] [client 127.0.0.1:52982] PHP Parse error:  syntax error, unexpected ':' in /home/ikram/projects/analaticaV2/src/Analatica/UserAgentBundle/Controller/UserAgentController.php on line 22
[Mon Aug 04 13:33:18.899127 2014] [:error] [pid 2951] [client 127.0.0.1:55361] PHP Fatal error:  Call to undefined method Analatica\\UserAgentBundle\\Entity\\UserAgent::setId() in /home/ikram/projects/analaticaV2/src/Analatica/UserAgentBundle/Controller/UserAgentController.php on line 65
[Mon Aug 04 13:35:24.537097 2014] [:error] [pid 1242] [client 127.0.0.1:55362] PHP Fatal error:  Cannot redeclare Analatica\\UserAgentBundle\\Entity\\UserAgent::setUserAgent() in /home/ikram/projects/analaticaV2/src/Analatica/UserAgentBundle/Entity/UserAgent.php on line 103
[Mon Aug 04 13:47:11.626797 2014] [:error] [pid 2950] [client 127.0.0.1:55393] PHP Fatal error:  Call to undefined method Analatica\\UserBundle\\Entity\\User::setId() in /home/ikram/projects/analaticaV2/src/Analatica/UserAgentBundle/Controller/UserAgentController.php on line 65
[Mon Aug 04 14:12:33.705458 2014] [:error] [pid 2544] [client 127.0.0.1:55474] PHP Fatal error:  Call to a member function setToken() on a non-object in /home/ikram/projects/analaticaV2/src/Analatica/UserAgentBundle/Controller/UserAgentController.php on line 64
[Mon Aug 04 14:13:35.410690 2014] [:error] [pid 2548] [client 127.0.0.1:55476] PHP Fatal error:  Call to a member function setToken() on a non-object in /home/ikram/projects/analaticaV2/src/Analatica/UserAgentBundle/Controller/UserAgentController.php on line 64
